Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Clinical_Manifestation,typical Alzheimer's disease,associated_with,Disease,Alzheimer's disease,典型阿尔茨海默病与阿尔茨海默病相关
Disease,Alzheimer's disease,associated_with,Clinical_Manifestation,REM sleep behavior disorder,阿尔茨海默病与快速眼动睡眠行为障碍相关
Clinical_Test,amyloid-PET,detects,Biomarker,amyloid plaques,淀粉样蛋白PET用于检测淀粉样斑块
Disease,Alzheimer's disease,associated_with,Biomarker,MRITHK,阿尔茨海默病与MRI厚度相关
Clinical_Manifestation,perception impairment,associated_with,Disease,Alzheimer's disease,感知障碍与阿尔茨海默病相关
Clinical_Manifestation,visuospatial impairment,associated_with,Disease,Alzheimer's disease,视觉空间障碍与阿尔茨海默病相关
Disease,Alzheimer's disease,associated_with,Pathological_Change,tau accumulation,阿尔茨海默病与tau蛋白积累相关
Clinical_Manifestation,behavioral changes,associated_with,Disease,Alzheimer's disease,行为改变与阿尔茨海默病相关
Research_Method,BPR,analyzes,Data,between-subject variability,个体间变异性投影与降维方法用于分析数据
Clinical_Manifestation,language impairment,associated_with,Disease,Alzheimer's disease,语言障碍与阿尔茨海默病相关
Clinical_Manifestation,dysexecutive symptoms,associated_with,Disease,Alzheimer's disease,执行功能障碍症状与阿尔茨海默病相关
Imaging_Method,MRI,detects,Pathological_Change,brain atrophy,MRI用于检测脑萎缩情况
Clinical_Test,CDR,evaluates,Clinical_Stage,dementia severity,临床痴呆评定量表用于评估痴呆严重程度
Clinical_Manifestation,posterior cortical atrophy,associated_with,Disease,Alzheimer's disease,后皮质萎缩与阿尔茨海默病相关
Imaging_Method,FDG-PET,detects,Biomarker,glucose metabolism,FDG-PET用于检测葡萄糖代谢变化
Disease,Alzheimer's disease,associated_with,Clinical_Manifestation,UPDRS,阿尔茨海默病与统一帕金森病评定量表相关
Brain_Region,default mode network,affected_by,Disease,Alzheimer's disease,默认模式网络在阿尔茨海默病中受到影响
Research_Method,dimensionality reduction,analyzes,Imaging_Method,FDG-PET,降维技术用于分析FDG-PET影像数据
Research_Method,PCA,analyzes,Brain_Region,functional connectivity,PCA用于分析脑区功能连接
Imaging_Method,MPRAGE,generates,Image,brain anatomy,MPRAGE用于生成脑部解剖图像
